2022/01/01,1,1
2022/01/05,2,3
2022/01/06,2,5
2022/01/07,1,6
2022/01/11,3,9
2022/01/12,4,13
2022/01/13,3,16
2022/01/14,2,18
2022/01/17,1,19
2022/01/18,3,22
2022/01/19,1,23
2022/01/20,1,24
2022/01/21,2,26
2022/01/25,1,27
2022/01/27,1,28
2022/01/28,1,29
2022/01/31,4,33
2022/02/01,1,34
2022/02/02,2,36
2022/02/03,1,37
2022/02/04,2,39
2022/02/07,2,41
2022/02/10,1,42
2022/02/16,1,43
2022/02/22,1,44
2022/03/01,1,45
2022/03/04,1,46
2022/03/07,3,49
2022/03/09,1,50
2022/03/10,1,51
2022/03/11,1,52
2022/03/15,3,55
2022/03/16,1,56
2022/03/17,1,57
2022/03/18,1,58
2022/03/21,1,59
2022/03/22,5,64
2022/03/24,2,66
2022/03/25,1,67
2022/03/28,1,68
2022/03/29,3,71
2022/03/30,3,74
2022/03/31,4,78
2022/04/01,1,79
2022/04/04,2,81
2022/04/05,2,83
2022/04/06,2,85
2022/04/07,1,86
2022/04/11,3,89
2022/04/12,2,91
2022/04/13,2,93
2022/04/14,2,95
2022/04/15,6,101
2022/04/19,2,103
2022/04/20,1,104
2022/04/22,1,105
2022/04/25,3,108
2022/04/26,4,112
2022/04/27,1,113
2022/04/29,2,115
2022/05/04,1,116
2022/05/05,1,117
2022/05/09,3,120
2022/05/11,1,121
2022/05/12,3,124
2022/05/13,1,125
2022/05/16,1,126
2022/05/18,3,129
2022/05/19,1,130
2022/05/20,2,132
2022/05/24,1,133
2022/05/25,1,134
2022/05/26,1,135
2022/05/27,1,136
2022/05/30,1,137
2022/05/31,3,140
2022/06/01,1,141
2022/06/02,1,142
2022/06/05,2,144
2022/06/06,4,148
2022/06/07,2,150
2022/06/08,1,151
2022/06/09,3,154
2022/06/10,1,155
2022/06/14,2,157
2022/06/15,1,158
2022/06/16,1,159
2022/06/17,2,161
2022/06/20,4,165
2022/06/21,1,166
2022/06/22,1,167
2022/06/27,1,168
2022/06/28,1,169
2022/06/29,1,170
2022/06/30,2,172
2022/07/01,1,173
2022/07/06,2,175
2022/07/07,1,176
2022/07/11,2,178
2022/07/12,4,182
2022/07/13,1,183
2022/07/15,1,184
2022/07/18,2,186
2022/07/20,1,187
2022/07/21,1,188
2022/07/26,1,189
2022/07/27,1,190
2022/07/28,1,191
2022/08/01,1,192
2022/08/02,1,193
2022/08/03,2,195
2022/08/05,1,196
2022/08/08,2,198
2022/08/09,1,199
2022/08/10,1,200
2022/08/16,2,202
2022/08/23,2,204
2022/08/26,3,207
2022/08/30,1,208
2022/08/31,1,209
2022/09/01,1,210
2022/09/02,1,211
2022/09/03,1,212
2022/09/05,1,213
2022/09/06,1,214
2022/09/07,1,215
2022/09/08,1,216
2022/09/12,1,217
2022/09/13,1,218
2022/09/14,2,220
2022/09/15,1,221
2022/09/18,1,222
2022/09/19,1,223
2022/09/20,1,224
2022/09/21,3,227
2022/09/26,1,228
2022/09/28,1,229
2022/10/04,1,230
2022/10/06,3,233
2022/10/07,1,234
2022/10/11,3,237
2022/10/12,1,238
2022/10/13,1,239
2022/10/17,1,240
2022/10/18,3,243
